,技能名稱,預設,主手裝備,副手裝備,身體裝備,效果編號,效果類別名稱,屬性名稱,屬性值,屬性追加,消耗MP,射程,類型,連擊,動作時間,詠唱/蓄力時間
,,,,,,,,branch,"迅捷飛踢, 迴旋飛踢",,,,,,,
,,,,,,-,proration,damage,physical,,,,,,,
,,,,,,-,damage,name,迅捷飛踢,,,,,,,
,,,,,,,,constant,100+10*SLv,,,,,,,
,,,,,,,,multiplier,500+20*SLv,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,-,extra,condition,自身暴擊傷害不大於${190-4*SLv}%時。,,,,,,,
,,,,,,,,critical_damage,10+4*SLv,,,,,,,
,,,,,,-,damage,name,迴旋飛踢,,,,,,,
,,,,,,,,constant,100+10*SLv,,,,,,,
,,,,,,,,multiplier,500+20*SLv,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,-,extra,caption,此技能傷害#[必定命中]。,,,,,,,
,,,,,,-,list,text,若迅捷飛踢加成暴擊傷害後，自身暴擊傷害超過200%，則加成會被取消。,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,-,list,text,迴旋飛踢的第一次跳躍速度與疾風收割接近。,,,,,,,
,,,,,,,,skill,疾風收割,,,,,,,
,,,,,,,,mark,迴旋飛踢,,,,,,,
,,,,,,-,list,text,貼近目標的速度較縮地法更快。,,,,,,,
,,,,,,,,skill,縮地法,,,,,,,
5,組合拳,預設,拳套,,,-,proration,damage,normal_attack,,0 ,2 ,瞬發,不可放入連擊的第一招,,
,,,,,,-,damage,constant,0,,,,,,,
,,,,,,,,multiplier,100+10*SLv,,,,,,,
,,,,,,,,frequency,3,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,-,extra,critical_rate,SLv*SLv,,,,,,,
,,,,,,-,reference,url_text,組合拳暴擊率測試,,,,,,,
,,,,,,,,url,https://www.taptap.com/topic/17032330,,,,,,,
6,破壞者,預設,拳套,,,-,text,text,此技能效果分為主動施放的破壞者BUFF，與被動存在的效果兩部分。,,100 ,main,瞬發,無法放入連擊,,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,,,branch,破壞者,,,,,,,
,,,,,,1,effect,duration,600,,,,,,,
,,,,,,,,weapon_base_atk,5*SLv,%,,,,,,
,,,,,,,,stability,-10,,,,,,,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,,,name,破壞者,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,
,,,,,,5,extra,caption,增加穿甲的#[降防]附加率25%。,,,,,,,
,,,,,,,,skill,穿甲,,,,,,,
,,,,,,2,extra,caption,自身無法對敵人附加#[控制類異常]。,,,,,,,
,,,,,,,,condition,副作用,,,,,,,
,,,,,,3,list,text,武器基礎ATK加成：指在計算基礎攻擊力時，武器的面板將變為${100+SLv*5}%計算。,,,,,,,
,,,,,,,,mark,武器基礎ATK,,,,,,,
,,,,,,4,tips,text,例如技能等級10時，一個200ATK，精鍊S的武器，且角色帶有武器ATK+10%與武器ATK+50的加成，則施放破壞者後武器攻擊力=(300*1.1+300*2.25+15+50)。,,,,,,,
,,,,,,-,text,text,習得此技能後，會獲得以下被動效果（常駐發動，無須施放破壞者狀態）：,,,,,,,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,-,passive,caption,提高呼吸法之回復效果，此技能等級Lv10時，呼吸法將附帶下一招技能#[MP消耗減半]。,,,,,,,
,,,,,,,,skill,呼吸法,,,,,,,
,,,,,,,,,,,,,,,,
6,,非預設,,拳套,,1,effect,caption,僅在主手為拳套時有效果。,,,,,,,
,,,,,,2,,,,,,,,,,
,,,,,,3,,,,,,,,,,
,,,,,,4,,,,,,,,,,
,,,,,,5,,,,,,,,,,
6,,歷史紀錄,0,2022/10/27,,2,extra,caption,自身攻擊附加異常狀態的機率降低![50%]。,,,,,,,
,,,,,,5,,caption,無此效果,,,,,,,
6,,歷史紀錄,0,2023/01/27,,139,basic,mp_cost,600,,,,,,,
,,,,,,,,,,,,,,,,
7,神剛體,預設,拳套,,,-,passive,caption,使神之手完美化，令神之手的動作期間追加以下效果：,,,,被動,,,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,,,mark,加倍奉還,,,,,,,
,,,,,,,,skill,神之手,,,,,,,
,,,,,,-,extra,condition,受到的百分比傷害,,,,,,,
,,,,,,,,caption,"減輕${[10,13,17,22,28,36,45,57,72,90][SLv-1]}%。",,,,,,,
,,,,,,1,extra,condition,使用神之手減輕傷害成功時,,,,,,,
,,,,,,,,caption,每次傷害回復200MP，單次技能最多回復400MP。,,,,,,,
,,,,,,-,extra,condition,神之手動作期間,,,,,,,
,,,,,,,,caption,自身免疫#[控制類異常]與#[睡眠]狀態。,,,,,,,
,,,,,,-,list,text,此技能免疫異常的效果，對紅字異常亦有效。,,,,,,,
7,,歷史紀錄,0,2023/01/26,,1,extra,condition,使用神之手減輕傷害成功時,,,,,,,
,,,,,,,,caption,每次傷害回復100MP，單次技能最多回復400MP。,,,,,,,
8,碎地之技,預設,拳套,,,-,text,text,對周圍發動碎地，依自身消耗的HP獲得10秒的屏障，已有屏障時無法重複獲得。,,800 ,main,瞬發,可以放入連擊,,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,-,proration,damage,physical,,,,,,,
,,,,,,,,proration,physical,,,,,,,
,,,,,,1,damage,name,碎地,,,,,,,
,,,,,,,,constant,700+SLv*10,,,,,,,
,,,,,,,,multiplier,"900+SLv*60+Math.max($BSTR,$BAGI)",,,,,,,
,,,,,,,,type,AOE,,,,,,,
,,,,,,,,radius,4,,,,,,,
,,,,,,,,end_position,self,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,action_frame,122~66,,,,,,,
,,,,,,-,extra,caption,此傷害#[必定暴擊],,,,,,,
,,,,,,,,condition,處於破壞者主動狀態中，且目標處於#[降防],,,,,,,
,,,,,,,,skill,破壞者,,,,,,,
,,,,,,2,extra,caption,回復((加倍奉還層數×100))的MP。,,,,,,,
,,,,,,,,condition,持有神之手的加倍奉還狀態時,,,,,,,
,,,,,,-,effect,name,屏障,,,,,,,
,,,,,,,,caption,創造可減輕傷害的屏障，屏障值等同於自身已損失的HP值。,,,,,,,
,,,,,,,,duration,10,,,,,,,
,,,,,,-,list,text,該屏障並非直接抵銷傷害，若受到的傷害小於剩餘屏障值，則角色受傷害-90%，扣除的屏障值與傷害的原始值相同；若受到的傷害大於剩餘屏障值，則角色受傷害為((原始傷害-剩餘屏障值))，並解除屏障效果。,,,,,,,
,,,,,,,,mark,"剩餘屏障值,屏障值",,,,,,,
,,,,,,-,tips,text,在遊戲中顯示的數字是已損失的HP百分比，但實際是傷害數值與損失HP的數值計算。,,,,,,,
8,,歷史紀錄,0,2023/01/26,,-,text,text,上調威力、更改神之手對此技能的加成,,,,,,,
,,,,,,1,,multiplier,"400+SLv*40+Math.max($BSTR,$BAGI)",,,,,,,
,,,,,,2,extra,caption,提升((加倍奉還層數×100))的技能倍率。,,,,,,,
8,,歷史紀錄,0,2023/04/06,,1,,multiplier,"500+SLv*60+Math.max($BSTR,$BAGI)",,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,噴泉飛踢,預設,拳套,,,-,text,text,發動後將迅速貼近目標。若此技能發動時與目標的距離大於8m，將強化技能效果。,,300 ,12 ,瞬發,可以放入連擊,,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,-,tips,text,貼近目標的速度與飛踢相同。,,,,,,,
,,,,,,,,skill,飛踢,,,,,,,
,,,,,,-,proration,damage,physical,,,,,,,
,,,,,,1,damage,name,噴泉飛踢,,,,,,,
,,,,,,,,constant,200+SLv*10,,,,,,,
,,,,,,,,multiplier,900+SLv*10+$AGI/2,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,
,,,,,,2,extra,physical_pierce,2*SLv,,,,,,,
,,,,,,-,extra,condition,發動時距離在8m以上時,,,,,,,
,,,,,,,,skill_multiplier_extra,50*SLv,,,,,,,
,,,,,,-,extra,condition,發動時距離在8m以上時,,,,,,,
,,,,,,,,caption,獲得呼吸法的效果。,,,,,,,
,,,,,,,,skill,呼吸法,,,,,,,
,,,,,,-,list,text,此技能於3M以上將增加動作時間，受距離增減而有影響。,,,,,,,
,,,,,,-,list,text,最遠發動距離12M的動作時間為78F~52F。,,,,,,,
,,,,,,-,tips,text,發動時距離在8m以上，指畫面顯示數字≧9m時。(參閱#[與目標距離]),,,,,,,
,,,,,,-,list,text,呼吸法的效果跟隨呼吸法的技能等級，故當呼吸法Lv10時，同樣可獲得下一招技能MP減半的效果。,,,,,,,
,,,,,,,,mark,呼吸法,,,,,,,
9,,歷史紀錄,0,2023/04/06,,1,,constant,200+SLv*10,,,,,,,
,,,,,,,,multiplier,900+SLv*10,,,,,,,
9,,歷史紀錄,0,2023/11/09,,2,,condition,發動時距離在8m以上時,,,,,,,
,,,,,,,,,,,,,,,,
8,1,靈魂技能,,,,,,,,,,,,,,
0,復甦,預設,魔導具,,,-,effect,caption,使自身中心半徑16m內的所有角色即刻復活。（復活倒計時歸0）,,2000 ,,須詠唱,無法放入連擊,一般,10-SLv/2
,,,,,,,,type,none,,,,,,,
,,,,,,,,action_frame,122~66,,,,,,,
,,,,,,-,extra,caption,復活後的HP為最大值的${SLv*SLv}%。,,,,,,,
,,,,,,,,condition,受此效果復活的角色,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,-,list,text,若目標因某種無法被急救的原因死亡（如：無悔殺意），此技能對其無效。,,,,,,,
,,,,,,,,skill,無悔殺意,,,,,,,
,,,,,,-,list,text,此技能不只對同隊成員，而是對隊伍外的玩家、傭兵與寵物皆有效果。,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,-,list,text,若施放時實際消費MP並非2000（如：在衝擊波後使用），該技能的最終詠唱時間+5秒，無法被CSPD縮短。,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1,守望相助,預設,魔導具,,,-,text,text,小幅回復自己與8m內的隊友中，HP百分比最低者的HP。,,100 ,,瞬發,可以放入連擊,一般,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,-,tips,text,當自己就是隊伍中HP最低者，或8m內無其他隊友時，會給自己補兩次血。,,,,,,,
,,,,,,-,heal,type,hp,,,,,,,
,,,,,,,,target,target,,,,,,,
,,,,,,,,constant,50*SLv,,,,,,,
,,,,,,,,frequency,2,,,,,,,
,,,,,,,,extra_text,角色MATK,,,,,,,
,,,,,,,,extra_value,0.05*SLv,,,,,,,
,,,,,,,,action_frame,122~66,,,,,,,
2,緊急援助,預設,魔導具,,,-,passive,caption,進行急救時，提升跑到目標對象身邊的移動速度(約提升100%)，移動過程中受到的前${1+Math.floor(SLv/5)}次傷害減輕${10*SLv}%。,,,,被動,,,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,-,list,text,技能等級10時，此技能效果從提供減傷轉變為無敵（受到傷害判定為miss，而非0）。,,,,,,,
,,,,,,,,,,,,,,,,
3,穩定術,預設,魔導具,,,-,effect,name,穩定術,,700 ,,瞬發,可以放入連擊,一般,
,,,,,,,,critical_rate,5+2*SLv+$CRT/8.5,,,,,,,
,,,,,,,,graze_penalty_mitigation,50,%,,,,,,
,,,,,,,,stability_magic,SLv,,,,,,,
,,,,,,,,duration,45,,,,,,,
,,,,,,,,type,party,,,,,,,
,,,,,,,,action_frame,122~66,,,,,,,
,,,,,,-,extra,caption,解除全隊的#[疲勞]狀態。,,,,,,,
,,,,,,,,condition,發動時,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,-,list,text,關於魔法穩定率提升效果，請詳閱#[魔法穩定率]名詞說明。,,,,,,,
,,,,,,,,mark,"魔法穩定率,魔法穩定浮動值上限",,,,,,,
,,,,,,-,list,text,此技能效果可以使角色的魔法穩定浮動值上限超過110%。,,,,,,,
,,,,,,,,mark,"魔法穩定率,魔法穩定浮動值上限",,,,,,,
,,,,,,-,tips,text,例如，角色原先魔法穩定浮動值上限為110%，造成魔法傷害在90%~110%之間，加上此技能後上限變為${110+SLv}%，造成魔法傷害變成90%~${110+SLv}%。,,,,,,,
,,,,,,-,list,text,此技能的擦傷懲罰緩和效果為：在發生#[Graze]時最終穩定率乘上1.5倍（在懲罰計算之後）。例如原始穩定率為90%，發生Graze時，最終穩定率為((90÷2×150%))%。,,,,,,,
,,,,,,,,mark,擦傷懲罰緩和,,,,,,,
,,,,,,-,tips,text,擦傷懲罰緩和僅有技能等級10的資料。,,,,,,,
,,,,,,-,tips,text,暴擊率加成中CRT/8.5的部分，僅有技能等級Lv10的資料，該部分以受影響角色的CRT計算，而非技能施放者的CRT。,,,,,,,
4,自動裝置,預設,魔導具,,,-,effect,caption,在自身未進行普通攻擊與技能時（例如：移動中），可自動對目標進行普通攻擊。,,100 ,,瞬發,可以放入連擊,一般,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,,,duration,60,,,,,,,
,,,,,,,,action_frame,122~66,,,,,,,
,,,,,,-,proration,damage,normal_attack,,,,,,,
,,,,,,-,damage,name,自動攻擊,,,,,,,
,,,,,,,,constant,0,,,,,,,
,,,,,,,,multiplier,100,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,combo_rate,0,,,,,,,
,,,,,,-,extra,motion_speed,50,,,,,,,
,,,,,,,,condition,此攻擊的動作,,,,,,,
,,,,,,-,extra,condition,與目標距離>8m時,,,,,,,
,,,,,,,,caption,攻擊間隔時間+${1.5-0.1*SLv}秒，且攻擊MP回復×${5*SLv}%。,,,,,,,
,,,,,,-,list,text,此傷害類似於普通攻擊，攻擊時會回復MP、攻擊間隔與普通攻擊相當，但無法觸發物理/魔法追擊。,,,,,,,
,,,,,,-,list,text,此攻擊的最大射程為12m。,,,,,,,
,,,,,,-,list,text,超出8m時，攻擊模式會更改為每次傷害分裂成3段，傷害不變。,,,,,,,
,,,,,,-,list,text,陷入#[沉默]狀態時，自動攻擊將停止。,,,,,,,
5,增強術,預設,魔導具,,,-,text,text,對隊伍中ATK最高的成員與MATK最高的成員賦予增強術。,,400 ,,瞬發,可以放入連擊,一般,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,,,mark,增強術,,,,,,,
,,,,,,-,tips,text,效果將給予2人，但若ATK最高與MATK最高的成員為同一人時，則僅有1人可獲得。,,,,,,,
,,,,,,-,effect,name,增強術,,,,,,,
,,,,,,,,total_damage_B,SLv,,,,,,,
,,,,,,,,duration,20+10*SLv,,,,,,,
,,,,,,,,type,target,,,,,,,
,,,,,,,,action_frame,122~66,,,,,,,
,,,,,,-,extra,atk,extra[0]*0.05*SLv,,,,,,,
,,,,,,,,condition,若為隊伍中ATK最高者,,,,,,,
,,,,,,-,extra,matk,extra[1]*0.05*SLv,,,,,,,
,,,,,,,,condition,若為隊伍中MATK最高者,,,,,,,
,,,,,,-,formula_extra,texts,"目標DEF,目標MDEF",,,,,,,
,,,,,,,,values.0,target_def,,,,,,,
,,,,,,,,values.1,target_mdef,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,-,list,text,此處所指的目標DEF/MDEF，為技能發動時受增益對象正鎖定的目標，更換目標將不改變增益量。,,,,,,,
,,,,,,-,list,text,ATK/MATK的增益量上限為目標怪物的等級。,,,,,,,
,,,,,,-,tips,text,最終傷害提升效果對所有傷害類型都有效，例如ATK最高成員使用魔法傷害依然可享受加成。,,,,,,,
6,反擊勢力,預設,魔導具,,,-,text,text,30秒內，當隊伍成員（含自身）受到攻擊時，自動對攻擊者發動反擊魔箭，反擊魔箭最多同時存在3個。,,300 ,,須蓄力,可以放入連擊,稍快,1
,,,,,,,,is_mark,1,,,,,,,
,,,,,,,,mark,反擊魔箭,,,,,,,
,,,,,,-,list,text,隊伍成員需待在自身周圍24m範圍內方可觸發反擊。,,,,,,,
,,,,,,-,proration,proration,none,,,,,,,
,,,,,,,,damage,magic,,,,,,,
,,,,,,-,damage,name,反擊魔箭,,,,,,,
,,,,,,,,constant,75,,,,,,,
,,,,,,,,multiplier,30*SLv+$INT*0.1,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,
,,,,,,,,range_damage,0,,,,,,,
,,,,,,,,skill_long_range,0,,,,,,,
,,,,,,,,combo_rate,0,,,,,,,
,,,,,,,,frequency,4,,,,,,,
,,,,,,,,title,each,,,,,,,
,,,,,,,,is_place,1,,,,,,,
,,,,,,,,action_frame,122~66,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,靈魂護盾,預設,魔導具,,,-,effect,caption,消費${30-2*SLv}%HP，回復100MP，並使下一次受到的傷害減輕![50%]、提高對該次傷害的異常抗性${SLv*SLv}%。,,0 ,,瞬發,不可放入連擊的第一招,快,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,
,,,,,,-,list,text,HP無法支付技能消耗時，此技能無法施放。,,,,,,,
,,,,,,-,reference,url_text,異常抗性公式來源,,,,,,,
,,,,,,,,url,https://ameblo.jp/toriye/entry-12772327836.html,,,,,,,
8,天外長槍,預設,魔導具,,,-,effect,caption,90秒內，自身每使用500MP，就可額外對鎖定目標造成一次天外長槍攻擊。,,500 ,,須蓄力,可以放入連擊,,2
,,,,,,,,is_mark,1,,,,,,,
,,,,,,,,mark,天外長槍,,,,,,,
,,,,,,-,tips,text,使用後得到一可疊層狀態，每使用100MP疊層數即+1，達5層時發動天外長槍並使層數-5（超出的層數會保留）。,,,,,,,
,,,,,,-,proration,proration,none,,,,,,,
,,,,,,,,damage,magic,,,,,,,
,,,,,,-,damage,name,天外長槍,,,,,,,
,,,,,,,,multiplier,250+50*SLv,,,,,,,
,,,,,,,,constant,500,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,skill_long_range,0,,,,,,,
,,,,,,,,combo_rate,0,,,,,,,
,,,,,,,,type,AOE,,,,,,,
,,,,,,,,radius,1,,,,,,,
,,,,,,,,action_frame,122~66,,,,,,,
,,,,,,-,extra,magic_pierce,Math.floor((SLv*SLv)/2),,,,,,,
,,,,,,-,list,text,天外長槍的傷害範圍，從決定中心落點到實際造成傷害，有略多於1秒的延遲，故非常容易因目標移動而落空。,,,,,,,
,,,,,,,,mark,天外長槍,,,,,,,
,,,,,,-,list,text,同一時間只能放出一次天外長槍，故即使使用消費MP為2000的技能，也只能放出一發。,,,,,,,
9,魔法火神,預設,魔導具,,,-,text,text,對目標進行連續的魔法火神（單次技能5發，可提前中斷），若未進行移動，則會自動連續發動此技能。,,100 ,12 ,須詠唱,可以放入連擊,快,2
,,,,,,,,is_mark,1,,,,,,,
,,,,,,-,proration,proration,none,,,,,,,
,,,,,,,,damage,magic,,,,,,,
,,,,,,-,damage,name,魔法火神（第一輪）,,,,,,,
,,,,,,,,constant,0,,,,,,,
,,,,,,,,multiplier,50+5*SLv,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,
,,,,,,-,extra,caption,此傷害將於一秒內連續發動5次（慣性共用、分開判定），每次傷害技能倍率將較前一次提高${SLv*5}，故總倍率為${250+75*SLv}%。,,,,,,,
,,,,,,-,damage,name,魔法火神（第一輪總傷害）,,,,,,,
,,,,,,,,constant,0,,,,,,,
,,,,,,,,multiplier,250+75*SLv,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,invisible,1,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,-,list,text,連續發動時，無須重新詠唱，連續發動越多輪，傷害越低。,,,,,,,
,,,,,,-,tips,text,此處將每5次傷害稱作一輪,,,,,,,
,,,,,,-,damage,name,魔法火神（連續發動）,,,,,,,
,,,,,,,,constant,100,,,,,,,
,,,,,,,,multiplier,180+10*SLv,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,
,,,,,,,,frequency,5,,,,,,,
,,,,,,,,title,each,,,,,,,
,,,,,,,,judgment,separate,,,,,,,
,,,,,,,,cycle,0.2,,,,,,,
,,,,,,,,duration,1,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,-,extra,caption,連續發動時，每一輪中每下傷害的技能倍率相較上一輪降低20，最低降至![10%]技能倍率。,,,,,,,
,,,,,,-,stack,name,發動輪次,,,,,,,
,,,,,,,,min,2,,,,,,,
,,,,,,,,default,2,,,,,,,
,,,,,,,,id,1,,,,,,,
,,,,,,,,invisible,1,,,,,,,
,,,,,,-,damage,name,第二輪以後（右上齒輪開啟輪次設定）,,,,,,,
,,,,,,,,constant,100,,,,,,,
,,,,,,,,multiplier,"Math.max(10,180+10*SLv-(stack-2)*20)",,,,,,,
,,,,,,,,damage_type,magic,,,,,,,
,,,,,,,,frequency,5,,,,,,,
,,,,,,,,title,each,,,,,,,
,,,,,,,,judgment,separate,,,,,,,
,,,,,,,,cycle,0.2,,,,,,,
,,,,,,,,duration,1,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,stack_id,1,,,,,,,
,,,,,,,,invisible,1,,,,,,,
,,,,,,-,tips,text,即，第三輪倍率為${160+10*SLv}%×5、第四輪倍率為${140+10*SLv}%×5，以此類推。,,,,,,,
,,,,,,-,list,text,每次連續發動，都需消費100MP。,,,,,,,
,,,,,,-,list,text,此技能置於連擊中間時，仍會自動連續發動。以移動中斷此技能後，會接著發動連擊中後續的技能，不會中斷連擊。,,,,,,,
,,,,,,-,list,text,與目標距離超出12m時，傷害會變為miss。,,,,,,,
,,,,,,-,list,text,此技能詠唱時間不受詠唱速度影響。,,,,,,,
10,靈魂強化,預設,魔導具,,,-,passive,caption,"提升各狀態技能的持續時間：
!S[自動裝置]延長${60+6*SLv}秒。
!S[反擊勢力]延長${30+3*SLv}秒。
!S[天外長槍]延長${90+9*SLv}秒。
!S[穩定術]延長${45+4.5*SLv}秒。",,,,被動,,,
11,詛咒祭壇,預設,魔導具,,,-,text,text,使用後有${100}%機率對敵人附加#[詛咒]，持續時間${2+SLv}秒。附加成功後，將對目標造成基於當前HP的持續傷害，總共${SLv}次。,,600 ,12 ,瞬發,可以放入連擊,快,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,-,list,text,對於普通怪物，詛咒傷害：每1秒1次，造成((目標當前HP*10%*(100-目標物理/魔法抗性間較高者)%)),,,,,,,
,,,,,,-,list,text,對於BOSS級怪物，詛咒傷害：每1秒1次，造成((目標當前HP*2%*(100-目標物理/魔法抗性間較高者)%)),,,,,,,
,,,,,,-,list,text,詛咒傷害有穩定率，但其穩定率等於((物理穩定率÷2)) (最大50%)。,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12,點燃,預設,魔導具,,,-,text,text,燃燒敵人的魔力進行攻擊。造成不穩定的魔法傷害，有低概率附加#[衰弱]。自身DEX與靈魂技能樹等級越高，附加成功率越高。,,100 ,12 ,瞬發,可以放入連擊,快,
,,,,,,,,mark,衰弱,,,,,,,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,-,stack,name,靈魂技能樹等級,,,,,,,
,,,,,,,,id,1,,,,,,,
,,,,,,,,min,1,,,,,,,
,,,,,,,,max,5,,,,,,,
,,,,,,,,default,5,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,-,proration,damage,magic,,,,,,,
,,,,,,-,damage,name,點燃,,,,,,,
,,,,,,,,constant,100,,,,,,,
,,,,,,,,multiplier,"60*SLv+Math.min(600,extra[0]*1+extra[1]*extra[1]/100)+extra[2])",,,,,,,
,,,,,,,,multiplier.display,60*SLv+extra[0]*1+extra[1]*extra[1]/100,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,stability,60%,,,,,,,
,,,,,,,,ailment_name,衰弱,,,,,,,
,,,,,,,,ailment_chance,2.5*SLv+5*stack+$BDEX/10,,,,,,,
,,,,,,,,stack_id,1,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,
,,,,,,-,formula_extra,texts,"魔導具武器ATK,魔導具精煉值",,,,,,,
,,,,,,,,values.0,@C.sub.atk*(100+@C.sub.refining*@C.sub.refining)/100,,,,,,,
,,,,,,,,values.1,@C.sub.refining,,,,,,,
,,,,,,-,extra,stability,-60,,,,,,,
,,,,,,-,tips,text,穩定率懲罰是扣物理穩定率，換算到#[魔法穩定率]要減半處理。,,,,,,,
,,,,,,,,,,,,,,,,
13,土龍魔彈,預設,魔導具,,,-,text,text,向敵人發射貼地飛行的魔法彈，命中後造成小範圍傷害，若彈道上有其他敵人，則附加#[停止]並穿身而過。,,300 ,16 ,瞬發,可以放入連擊,快,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,-,proration,damage,magic,,,,,,,
,,,,,,-,damage,name,土龍魔彈,,,,,,,
,,,,,,,,constant,300,,,,,,,
,,,,,,,,multiplier,350+35*SLv+$BINT*0.5+$BDEX*0.5,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,long_range_damage,0,,,,,,,
,,,,,,,,type,AOE,,,,,,,
,,,,,,,,radius,0.5,,,,,,,
,,,,,,-,extra,caption,未被敵方鎖定且距離8米以上時，#[必定暴擊]。,,,,,,,
,,,,,,-,extra,caption,有100%機率附加#[停止]，但不會造成傷害或改變慣性。,,,,,,,
,,,,,,,,condition,對彈道上其他敵人,,,,,,,
,,,,,,-,list,text,此技能雖然吃距離傷害，但不受!S[遠程狙擊]影響。,,,,,,,
14,虛幻武裝,預設,魔導具,,,-,text,text,揮動用魔力生成的武器，隨機施展下列技能之一（傷害與原版技能不同），AGI與DEX越高，威力越高。,,600 ,12 ,瞬發,可以放入連擊,快,
,,,,,,,,is_mark,1,,,,,,,
,,,,,,,,mark,AGI，DEX,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,-,tips,text,月神災厄,,,,,,,
,,,,,,-,group,size,2,,,,,,,
,,,,,,-,proration,damage,magic,,,,,,,
,,,,,,-,damage,name,月神災厄,,,,,,,
,,,,,,,,constant,6*SLv*SLv,,,,,,,
,,,,,,,,multiplier,750+$AGI+$DEX,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,-,extra,caption,與原版類似，可以按後方向鍵在技能結束後瞬移至後方，但不會留下月光之刃的持續傷害領域。,,,,,,,
,,,,,,-,tips,text,退身擊,,,,,,,
,,,,,,-,group,size,2,,,,,,,
,,,,,,-,proration,damage,magic,,,,,,,
,,,,,,-,damage,name,退身擊,,,,,,,
,,,,,,,,constant,6*SLv*SLv,,,,,,,
,,,,,,,,multiplier,750+$AGI+$DEX,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,-,extra,caption,與原版一樣，會後退的同時將一次傷害變為0，可按住前方向鍵取消後退效果（減傷效果仍在）。,,,,,,,
,,,,,,-,tips,text,龍力充填,,,,,,,
,,,,,,-,group,size,2,,,,,,,
,,,,,,-,proration,damage,magic,,,,,,,
,,,,,,-,damage,name,龍力充填,,,,,,,
,,,,,,,,constant,450*(SLv*SLv)/100,,,,,,,
,,,,,,,,multiplier,(750+$AGI+$DEX)*3/4,,,,,,,
,,,,,,,,damage_type,magic,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,-,extra,caption,與原版一樣，造成一次衝刺傷害與一次扇形範圍傷害、距離目標超過7m，第一擊會丟失。,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,-,tips,text,霞雪月花,,,,,,,
