名稱 (Name),屬性分類,屬性名稱,屬性值 (Property Value),屬性值2
波多姆大王,stats,max_hp,10%,
,,physical_resistance,-5,
,,magic_resistance,-5,
白金波多姆,stats,max_hp,20%,
,,physical_resistance,-10,
,,magic_resistance,-10,
,other,enhancer,波多姆大王,
蛋糕波多姆,stats,max_hp,30%,
,,physical_resistance,-15,
,,magic_resistance,-15,
,other,enhancer,白金波多姆,
馬奇史東,stats,str,1,
,,int,1,
,,vit,1,
,,agi,1,
,,dex,1,
,,max_hp,100,
,,max_mp,50,
,obtain,name,寶箱道具@周年歡慶箱,
超級魔菇,stats,max_hp,500,
,,short_range_damage,1,
,,long_range_damage,1,
製作人化身,stats,exp_rate,1,
,,fire_resistance,1,
,,water_resistance,1,
,,wind_resistance,1,
,,earth_resistance,1,
,,light_resistance,1,
,,dark_resistance,1,
八代紅豆,stats,exp_rate,1,
,,max_hp,200,
,,max_mp,100,
格爾咪,stats,max_hp,200,
,,max_mp,100,
強強格爾咪,stats,max_hp,400,
,,max_mp,200,
,,stability,2,
,,accuracy,2,
,,critical_rate,4,
,other,enhancer,格爾咪,
舒爾,stats,anticipate,5,
,,guard_break,5,
,,accuracy,20%,
,,aggro,10,
圖塔涅,stats,anticipate,6,
,,guard_break,6,
,,accuracy,30%,
,,aggro,10,
,other,enhancer,舒爾,
帕喬斯北枕,stats,exp_rate,1,
,,critical_rate,5,
,,accuracy,3,
,obtain,name,†闇王†,
章魚阿健,stats,attack_mp_recovery,5,
,,critical_rate,10,
,,aspd,150,
,,cspd,200,
,,fire_resistance,-4%,
,,ailment_resistance,-2%,
,,reduce_dmg_bowling,-1%,
彼方殘影,stats,short_range_damage,10%,
,,physical_pierce,5%,
,,aspd,-250,
,obtain,name,斃魔斯.地獄(300),
科隆教父,stats,matk,10%,
,,critical_rate,20%,
,,accuracy,-40,
,other,enhancer,哥布林老大,
,,,,
,,,,
,,,,
1,3,活動王（區域）,,
白蘿蔔怪,stats,stability,4,
,,accuracy,4%,
,,critical_rate,4%,
茄子怪,stats,stability,5,
,,accuracy,5%,
,,critical_rate,5%,
,other,enhancer,白蘿蔔怪,
奇露米娜,stats,stability,6,
,,accuracy,6%,
,,critical_rate,6%,
,other,enhancer,茄子怪,
燈飾小結者,stats,critical_rate,25%,
,,additional_meele,25,
,,additional_magic,25,
,,aspd,-25,
1,4,小怪,,
STR+1,stats,str,1,
,obtain,name,比克鳥,
STR+2,stats,str,2,
,obtain,name,骨架兵,
STR+3,stats,str,3,
,obtain,name,庫雷古,
STR+4,stats,str,4,
,obtain,name,飛兔劊子手,
STR+5,stats,str,5,
,obtain,name,巨角山羊,
STR+6,stats,str,6,
,obtain,name,浮游靈,
STR+7,stats,str,7,
,obtain,name,大噸龍,
STR+8,stats,str,8,
,,name,肌因魚,
INT+1,stats,int,1,
,obtain,name,波姆姆,
INT+2,stats,int,2,
,obtain,name,波雞,
INT+3,stats,int,3,
,obtain,name,布蘭達,
INT+4,stats,int,4,
,obtain,name,瓣香妖,
INT+5,stats,int,5,
,obtain,name,怪蜥信徒,
INT+6,stats,int,6,
,obtain,name,,
INT+7,stats,int,7,
,obtain,name,大顎飛龍,
DEX+1,stats,dex,1,
,obtain,name,奈米可,
DEX+2,stats,dex,2,
,obtain,name,石頭,
DEX+3,stats,dex,3,
,obtain,name,洛可,
DEX+4,stats,dex,4,
,obtain,name,激進派尖兵,
DEX+5,stats,dex,5,
,obtain,name,提燈蝙蝠,
DEX+6,stats,dex,6,
,obtain,name,綠苔毛蟲,
DEX+7,stats,dex,7,
,obtain,name,飛鰭章魚,
DEX+8,stats,dex,8,
,obtain,name,飛天觸手,
VIT+1,stats,vit,1,
,obtain,name,,
VIT+2,stats,vit,2,
,obtain,name,石頭,
VIT+3,stats,vit,3,
,obtain,name,殭屍科隆,
VIT+4,stats,vit,4,
,obtain,name,貧民波多姆,
VIT+5,stats,vit,5,
,obtain,name,浮游晶怪,
VIT+6,stats,vit,6,
,obtain,name,蝕魔大口,
VIT+7,stats,vit,7,
,obtain,name,,
VIT+8,stats,vit,8,
,obtain,name,デルフィ,
VIT+9,stats,vit,9,
,obtain,name,藍色果凍,
AGI+1,stats,agi,1,
,obtain,name,皮可,
AGI+2,stats,agi,2,
,obtain,name,克里夫皮可,
AGI+3,stats,agi,3,
,obtain,name,魔性犬,
AGI+4,stats,agi,4,
,obtain,name,芙蘿拉蜜蜂,
AGI+5,stats,agi,5,
,obtain,name,能量晶怪,
AGI+6,stats,agi,6,
,obtain,name,小駝,
AGI+7,stats,agi,7,
,obtain,name,轉轉,
HP+100,stats,max_hp,100,
,obtain,name,"洛爾, 皇冠花",
,,,,
HP+200,stats,max_hp,200,
,obtain,name,小岩龍,
HP+300,stats,max_hp,300,
,obtain,name,棋兵,
HP+400,stats,max_hp,400,
,obtain,name,庫雷古,
HP+500,stats,max_hp,500,
,obtain,name,高音犛牛,
HP+600,stats,max_hp,600,
,obtain,name,仙人掌懼魔,
HP+700,stats,max_hp,700,
,obtain,name,老錨龍,
HP+800,stats,max_hp,800,
,obtain,name,布雷格,
,,map,配管走廊,
MP+50,stats,max_mp,50,
,obtain,,,
MP+100,stats,max_mp,100,
,obtain,,,
MP+150,stats,max_mp,150,
,obtain,name,,
MP+200,stats,max_mp,200,
,obtain,name,,
MP+250,stats,max_mp,250,
,obtain,name,,
MP+300,stats,max_mp,300,
,obtain,name,波雞,
MP+350,stats,max_mp,350,
,obtain,name,魔魚鷹,
MP+400,stats,max_mp,400,
,obtain,name,雅瑪獅魚,
MP+450,stats,max_mp,450,
,obtain,name,結晶羊,
CSPD+20,stats,cspd,20,
,obtain,name,魔菇,
CSPD+40,stats,cspd,40,
,obtain,name,波雞,
CSPD+60,stats,cspd,60,
,obtain,name,水蛙,
CSPD+80,stats,cspd,80,
,obtain,name,黑暗魔法書,
CSPD+100,stats,cspd,100,
,obtain,name,毒液蛙,
CSPD+120,stats,cspd,120,
,obtain,name,嗡嗡,
CSPD+140,stats,cspd,140,
,obtain,name,霧光洛爾,
ASPD+20,stats,aspd,20,
,obtain,name,野狼,
ASPD+40,stats,aspd,40,
,obtain,name,紅色洛爾,
ASPD+60,stats,aspd,60,
,obtain,name,波多鬼,
ASPD+80,stats,aspd,80,
,obtain,name,植株馬其納,
ASPD+100,stats,aspd,100,
,obtain,name,湖池野貓,
ASPD+120,stats,aspd,120,
,obtain,name,苔鼠,
ASPD+140,stats,aspd,140,
,obtain,name,洞穴蟻,
ASPD+160,stats,aspd,160,
,obtain,name,岩兔,
命中+2,stats,accuracy,2,
,obtain,,,
命中+4,stats,accuracy,4,
,obtain,,,
命中+6,stats,accuracy,6,
,obtain,,,
命中+8,stats,accuracy,8,
,obtain,,,
命中+10,stats,accuracy,10,
,obtain,,,
命中+12,stats,accuracy,12,
,obtain,,,
命中+14,stats,accuracy,14,
,obtain,,可塘鴞,
命中+16,stats,accuracy,16,
,obtain,,嗶嗶蝠,
命中+18,stats,accuracy,18,
,obtain,,薩卡拉,
迴避+2,stats,dodge,2,
,obtain,,,
迴避+4,stats,dodge,4,
,obtain,,,
迴避+6,stats,dodge,6,
,obtain,,,
迴避+8,stats,dodge,8,
,obtain,,,
迴避+10,stats,dodge,10,
,obtain,,,
迴避+12,stats,dodge,12,
,obtain,,,
迴避+14,stats,dodge,14,
,obtain,name,奧斯鴕鳥,
迴避+16,stats,dodge,16,
,obtain,name,冰狼,
暴擊率+1,stats,critical_rate,1,
,obtain,,,
暴擊率+2,stats,critical_rate,2,
,obtain,,,
暴擊率+3,stats,critical_rate,3,
,obtain,,,
暴擊率+4,stats,critical_rate,4,
,obtain,,,
暴擊率+5,stats,critical_rate,5,
,obtain,,暗幼龍，,
1,5,活動王（小怪）,,
